epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,131.209,2.24522,0.48428,0.8847,1.54727,9.95215e-05,9.95215e-05,0.0669257
2,251.244,1.43743,0.57652,0.91824,1.24531,0.000197363,0.000197363,0.0336902
3,371.257,1.11747,0.6457,0.93711,1.0123,0.000286704,0.000286704,0.000446193
4,488.418,0.9143,0.66876,0.95388,1.02588,0.000271639,0.000271639,0.000271639
5,608.498,0.82022,0.69811,0.95388,0.91416,0.000250866,0.000250866,0.000250866
6,732.107,0.67106,0.71908,0.95807,0.89386,0.00022575,0.00022575,0.00022575
7,855.306,0.5548,0.71908,0.96855,0.90024,0.000197389,0.000197389,0.000197389
8,973.408,0.50473,0.71488,0.96646,0.91556,0.000167022,0.000167022,0.000167022
9,1093.05,0.43216,0.72746,0.95807,0.93586,0.000135978,0.000135978,0.000135978
10,1210.68,0.35078,0.73166,0.96436,0.90885,0.000105611,0.000105611,0.000105611
11,1328.96,0.28441,0.73795,0.97694,0.93914,7.725e-05,7.725e-05,7.725e-05
12,1446.22,0.25977,0.74004,0.97275,0.95754,5.21341e-05,5.21341e-05,5.21341e-05
13,1565.59,0.2199,0.75681,0.97275,0.92168,3.1361e-05,3.1361e-05,3.1361e-05
14,1684.7,0.21793,0.74633,0.97694,0.93229,1.58385e-05,1.58385e-05,1.58385e-05
15,1804.04,0.20328,0.74633,0.97484,0.93179,6.24508e-06,6.24508e-06,6.24508e-06
