epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,131.181,2.21715,0.53669,0.89937,1.49232,9.95215e-05,9.95215e-05,0.0669257
2,248.778,1.3968,0.60168,0.93501,1.22949,0.00019898,0.00019898,0.0336918
3,363.98,1.11348,0.6499,0.93501,1.0153,0.000296282,0.000296282,0.000455771
4,479.647,0.9142,0.66667,0.95807,1.00876,0.000292732,0.000292732,0.000292732
5,597.842,0.83846,0.67715,0.96436,0.96393,0.000287162,0.000287162,0.000287162
6,714.765,0.72529,0.68553,0.96646,0.962,0.000280105,0.000280105,0.000280105
7,837.173,0.63775,0.72537,0.95807,0.92585,0.000271639,0.000271639,0.000271639
8,954.503,0.58319,0.71698,0.96646,0.85645,0.000261857,0.000261857,0.000261857
9,1072.65,0.5371,0.7044,0.94759,1.03945,0.000250866,0.000250866,0.000250866
10,1187.67,0.47471,0.7086,0.95597,0.95677,0.000238786,0.000238786,0.000238786
11,1304.87,0.42506,0.74423,0.96646,0.91157,0.00022575,0.00022575,0.00022575
12,1422.8,0.36928,0.72956,0.96226,0.94668,0.0002119,0.0002119,0.0002119
13,1540.23,0.33342,0.7044,0.96646,1.10589,0.000197389,0.000197389,0.000197389
14,1659.51,0.30492,0.73375,0.96017,1.03542,0.000182375,0.000182375,0.000182375
15,1778.44,0.24413,0.72327,0.97065,1.06359,0.000167022,0.000167022,0.000167022
16,1898.53,0.25461,0.72117,0.95807,1.11953,0.0001515,0.0001515,0.0001515
17,2019.55,0.22257,0.73166,0.96855,1.06911,0.000135978,0.000135978,0.000135978
18,2139.73,0.196,0.74214,0.96017,1.05247,0.000120625,0.000120625,0.000120625
19,2262.56,0.16048,0.71908,0.96017,1.1644,0.000105611,0.000105611,0.000105611
