epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,141.755,2.10208,0.54902,0.93627,1.30337,6.62942e-05,6.62942e-05,0.0669192
2,268.201,1.28254,0.67647,0.95343,0.9615,0.000132151,0.000132151,0.0336517
3,397.749,0.92543,0.71569,0.96814,0.88202,0.000194791,0.000194791,0.000381011
4,525.816,0.74348,0.75245,0.97549,0.79028,0.00018921,0.00018921,0.00018921
5,652.145,0.62593,0.75735,0.97059,0.73317,0.000181093,0.000181093,0.000181093
6,781.25,0.51385,0.76716,0.97304,0.78204,0.000171004,0.000171004,0.000171004
7,907.772,0.41893,0.77206,0.97304,0.74346,0.000159191,0.000159191,0.000159191
8,1036.04,0.37335,0.77451,0.98284,0.72976,0.000145945,0.000145945,0.000145945
9,1162.95,0.34347,0.77941,0.98284,0.77657,0.000131593,0.000131593,0.000131593
10,1292.82,0.27928,0.79657,0.98039,0.68185,0.000116487,0.000116487,0.000116487
11,1427.65,0.25359,0.78431,0.97794,0.71548,0.000101,0.000101,0.000101
12,1553.45,0.21018,0.79902,0.97304,0.70474,8.5513e-05,8.5513e-05,8.5513e-05
13,1679.91,0.19074,0.77696,0.98039,0.77223,7.04073e-05,7.04073e-05,7.04073e-05
14,1805.62,0.16912,0.80637,0.98039,0.73422,5.60549e-05,5.60549e-05,5.60549e-05
15,1929.07,0.13461,0.83333,0.97549,0.67625,4.28093e-05,4.28093e-05,4.28093e-05
16,2054.6,0.1153,0.82108,0.97549,0.7207,3.09964e-05,3.09964e-05,3.09964e-05
17,2179.03,0.11548,0.80392,0.97794,0.70787,2.09073e-05,2.09073e-05,2.09073e-05
18,2300.44,0.1065,0.81863,0.98039,0.69923,1.27904e-05,1.27904e-05,1.27904e-05
19,2423.77,0.09711,0.81618,0.97794,0.71458,6.8454e-06,6.8454e-06,6.8454e-06
20,2549.09,0.09601,0.82108,0.98039,0.7078,3.21885e-06,3.21885e-06,3.21885e-06
